emoji,name,concept,concept_source,iconic,emojese,codepoints,status,group,subgroup
😀,grinning face,fun,emojese,,fun,1F600,fully-qualified,Smileys & Emotion,face-smiling
😃,grinning face with big eyes,happiness,iconic,happiness,,1F603,fully-qualified,Smileys & Emotion,face-smiling
😄,grinning face with smiling eyes,happy,emojese,,happy,1F604,fully-qualified,Smileys & Emotion,face-smiling
😁,beaming face with smiling eyes,,,,,1F601,fully-qualified,Smileys & Emotion,face-smiling
😆,grinning squinting face,,,,,1F606,fully-qualified,Smileys & Emotion,face-smiling
😅,grinning face with sweat,flustered,iconic,flustered,,1F605,fully-qualified,Smileys & Emotion,face-smiling
🤣,rolling on the floor laughing,laugh,emojese,rofl,laugh,1F923,fully-qualified,Smileys & Emotion,face-smiling
😂,face with tears of joy,laughter,iconic,laughter,,1F602,fully-qualified,Smileys & Emotion,face-smiling
🙂,slightly smiling face,smile,iconic,smile,,1F642,fully-qualified,Smileys & Emotion,face-smiling
🙃,upside-down face,upsidedown,iconic,upsidedown,,1F643,fully-qualified,Smileys & Emotion,face-smiling
🫠,melting face,melt,emojese,,melt,1FAE0,fully-qualified,Smileys & Emotion,face-smiling
😉,winking face,wink,iconic,wink,,1F609,fully-qualified,Smileys & Emotion,face-smiling
😊,smiling face with smiling eyes,kind,emojese,blush,kind,1F60A,fully-qualified,Smileys & Emotion,face-smiling
😇,smiling face with halo,innocent,emojese,,innocent,1F607,fully-qualified,Smileys & Emotion,face-smiling
🥰,smiling face with hearts,,,,,1F970,fully-qualified,Smileys & Emotion,face-affection
😍,smiling face with heart-eyes,wonderful,emojese,hearteyes,wonderful,1F60D,fully-qualified,Smileys & Emotion,face-affection
🤩,star-struck,wow,emojese,amazing,wow,1F929,fully-qualified,Smileys & Emotion,face-affection
😘,face blowing a kiss,airkiss,iconic,airkiss,,1F618,fully-qualified,Smileys & Emotion,face-affection
😗,kissing face,,,,,1F617,fully-qualified,Smileys & Emotion,face-affection
☺️,smiling face,,,,,263A FE0F,fully-qualified,Smileys & Emotion,face-affection
😚,kissing face with closed eyes,,,,,1F61A,fully-qualified,Smileys & Emotion,face-affection
😙,kissing face with smiling eyes,,,,,1F619,fully-qualified,Smileys & Emotion,face-affection
🥲,smiling face with tear,proud,emojese,,proud,1F972,fully-qualified,Smileys & Emotion,face-affection
😋,face savoring food,delicious,emojese,tasty,delicious,1F60B,fully-qualified,Smileys & Emotion,face-tongue
😛,face with tongue,,,,,1F61B,fully-qualified,Smileys & Emotion,face-tongue
😜,winking face with tongue,,,,,1F61C,fully-qualified,Smileys & Emotion,face-tongue
🤪,zany face,crazy,emojese,goofy,crazy,1F92A,fully-qualified,Smileys & Emotion,face-tongue
😝,squinting face with tongue,,,,,1F61D,fully-qualified,Smileys & Emotion,face-tongue
🤑,money-mouth face,,,,,1F911,fully-qualified,Smileys & Emotion,face-tongue
🤗,smiling face with open hands,,,,,1F917,fully-qualified,Smileys & Emotion,face-hand
🤭,face with hand over mouth,chuckle,iconic,chuckle,,1F92D,fully-qualified,Smileys & Emotion,face-hand
🫢,face with open eyes and hand over mouth,,,,,1FAE2,fully-qualified,Smileys & Emotion,face-hand
🫣,face with peeking eye,peek,emojese,,peek,1FAE3,fully-qualified,Smileys & Emotion,face-hand
🤫,shushing face,quiet,iconic,quiet,,1F92B,fully-qualified,Smileys & Emotion,face-hand
🤔,thinking face,hmm,emojese,doubtful,hmm,1F914,fully-qualified,Smileys & Emotion,face-hand
🫡,saluting face,,,,,1FAE1,fully-qualified,Smileys & Emotion,face-hand
🤐,zipper-mouth face,silent,iconic,silent,,1F910,fully-qualified,Smileys & Emotion,face-neutral-skeptical
🤨,face with raised eyebrow,skeptical,emojese,,skeptical,1F928,fully-qualified,Smileys & Emotion,face-neutral-skeptical
😐,neutral face,indifferent,iconic,indifferent,,1F610,fully-qualified,Smileys & Emotion,face-neutral-skeptical
😑,expressionless face,unimpressed,iconic,unimpressed,,1F611,fully-qualified,Smileys & Emotion,face-neutral-skeptical
😶,face without mouth,,,speechless,silent,1F636,fully-qualified,Smileys & Emotion,face-neutral-skeptical
🫥,dotted line face,invisible,emojese,,invisible,1FAE5,fully-qualified,Smileys & Emotion,face-neutral-skeptical
😶‍🌫️,face in clouds,,,,,1F636 200D 1F32B FE0F,fully-qualified,Smileys & Emotion,face-neutral-skeptical
😏,smirking face,heh,emojese,smirk,heh,1F60F,fully-qualified,Smileys & Emotion,face-neutral-skeptical
😒,unamused face,frustration,iconic,frustration,,1F612,fully-qualified,Smileys & Emotion,face-neutral-skeptical
🙄,face with rolling eyes,eyeroll,iconic,eyeroll,,1F644,fully-qualified,Smileys & Emotion,face-neutral-skeptical
😬,grimacing face,grimace,iconic,grimace,,1F62C,fully-qualified,Smileys & Emotion,face-neutral-skeptical
😮‍💨,face exhaling,,,,,1F62E 200D 1F4A8,fully-qualified,Smileys & Emotion,face-neutral-skeptical
🤥,lying face,lie,emojese,,lie,1F925,fully-qualified,Smileys & Emotion,face-neutral-skeptical
🫨,shaking face,shake,emojese,,shake,1FAE8,fully-qualified,Smileys & Emotion,face-neutral-skeptical
🙂‍↔️,head shaking horizontally,,,,,1F642 200D 2194 FE0F,fully-qualified,Smileys & Emotion,face-neutral-skeptical
🙂‍↕️,head shaking vertically,,,,,1F642 200D 2195 FE0F,fully-qualified,Smileys & Emotion,face-neutral-skeptical
😌,relieved face,relief,iconic,relief,,1F60C,fully-qualified,Smileys & Emotion,face-sleepy
😔,pensive face,pensive,iconic,pensive,,1F614,fully-qualified,Smileys & Emotion,face-sleepy
😪,sleepy face,,,,,1F62A,fully-qualified,Smileys & Emotion,face-sleepy
🤤,drooling face,,,,,1F924,fully-qualified,Smileys & Emotion,face-sleepy
😴,sleeping face,tired,emojese,sleepy,tired,1F634,fully-qualified,Smileys & Emotion,face-sleepy
🫩,face with bags under eyes,,,,,1FAE9,fully-qualified,Smileys & Emotion,face-sleepy
😷,face with medical mask,mask,emojese,,mask,1F637,fully-qualified,Smileys & Emotion,face-unwell
🤒,face with thermometer,sick,emojese,,sick,1F912,fully-qualified,Smileys & Emotion,face-unwell
🤕,face with head-bandage,injury,emojese,injury,injury,1F915,fully-qualified,Smileys & Emotion,face-unwell
🤢,nauseated face,nauseous,iconic,nauseous,,1F922,fully-qualified,Smileys & Emotion,face-unwell
🤮,face vomiting,vomit,iconic,vomit,,1F92E,fully-qualified,Smileys & Emotion,face-unwell
🤧,sneezing face,sneeze,emojese,sneeze,sneeze,1F927,fully-qualified,Smileys & Emotion,face-unwell
🥵,hot face,hot,emojese,spicyface,hot,1F975,fully-qualified,Smileys & Emotion,face-unwell
🥶,cold face,cold,emojese,freezing,cold,1F976,fully-qualified,Smileys & Emotion,face-unwell
🥴,woozy face,drunk,emojese,,drunk,1F974,fully-qualified,Smileys & Emotion,face-unwell
😵,face with crossed-out eyes,dizzy,iconic,dizzy,,1F635,fully-qualified,Smileys & Emotion,face-unwell
😵‍💫,face with spiral eyes,,,,,1F635 200D 1F4AB,fully-qualified,Smileys & Emotion,face-unwell
🤯,exploding head,whoa,emojese,,whoa,1F92F,fully-qualified,Smileys & Emotion,face-unwell
🤠,cowboy hat face,cowboy,emojese,cowboy,cowboy,1F920,fully-qualified,Smileys & Emotion,face-hat
🥳,partying face,partying,iconic,partying,,1F973,fully-qualified,Smileys & Emotion,face-hat
🥸,disguised face,disguise,emojese,,disguise,1F978,fully-qualified,Smileys & Emotion,face-hat
😎,smiling face with sunglasses,cool,emojese,sunglassesface,cool,1F60E,fully-qualified,Smileys & Emotion,face-glasses
🤓,nerd face,geek,emojese,,geek,1F913,fully-qualified,Smileys & Emotion,face-glasses
🧐,face with monocle,,,,,1F9D0,fully-qualified,Smileys & Emotion,face-glasses
😕,confused face,,,,,1F615,fully-qualified,Smileys & Emotion,face-concerned
🫤,face with diagonal mouth,,,,,1FAE4,fully-qualified,Smileys & Emotion,face-concerned
😟,worried face,problematic,iconic,problematic,,1F61F,fully-qualified,Smileys & Emotion,face-concerned
🙁,slightly frowning face,discontent,iconic,discontent,,1F641,fully-qualified,Smileys & Emotion,face-concerned
☹️,frowning face,frown,iconic,frown,,2639 FE0F,fully-qualified,Smileys & Emotion,face-concerned
😮,face with open mouth,,,oh,,1F62E,fully-qualified,Smileys & Emotion,face-concerned
😯,hushed face,surprise,iconic,surprise,,1F62F,fully-qualified,Smileys & Emotion,face-concerned
😲,astonished face,oh,emojese,astonished,oh,1F632,fully-qualified,Smileys & Emotion,face-concerned
😳,flushed face,embarrassed,emojese,flushed,embarrassed,1F633,fully-qualified,Smileys & Emotion,face-concerned
🫪,distorted face,,,,,1FAEA,fully-qualified,Smileys & Emotion,face-concerned
🥺,pleading face,plead,iconic,plead,,1F97A,fully-qualified,Smileys & Emotion,face-concerned
🥹,face holding back tears,,,,,1F979,fully-qualified,Smileys & Emotion,face-concerned
😦,frowning face with open mouth,disbelief,iconic,disbelief,,1F626,fully-qualified,Smileys & Emotion,face-concerned
😧,anguished face,exasperate,iconic,exasperate,,1F627,fully-qualified,Smileys & Emotion,face-concerned
😨,fearful face,frightened,iconic,frightened,,1F628,fully-qualified,Smileys & Emotion,face-concerned
😰,anxious face with sweat,worry,emojese,,worry,1F630,fully-qualified,Smileys & Emotion,face-concerned
😥,sad but relieved face,suffering,iconic,suffering,,1F625,fully-qualified,Smileys & Emotion,face-concerned
😢,crying face,sad,emojese,grievance,sad,1F622,fully-qualified,Smileys & Emotion,face-concerned
😭,loudly crying face,crying,iconic,crying,,1F62D,fully-qualified,Smileys & Emotion,face-concerned
😱,face screaming in fear,afraid,emojese,terror,afraid,1F631,fully-qualified,Smileys & Emotion,face-concerned
😖,confounded face,,,,,1F616,fully-qualified,Smileys & Emotion,face-concerned
😣,persevering face,persevere,iconic,persevere,,1F623,fully-qualified,Smileys & Emotion,face-concerned
😞,disappointed face,disappointed,emojese,shame,disappointed,1F61E,fully-qualified,Smileys & Emotion,face-concerned
😓,downcast face with sweat,,,,,1F613,fully-qualified,Smileys & Emotion,face-concerned
😩,weary face,weary,iconic,weary,,1F629,fully-qualified,Smileys & Emotion,face-concerned
😫,tired face,distraught,iconic,distraught,,1F62B,fully-qualified,Smileys & Emotion,face-concerned
🥱,yawning face,boring,emojese,exhaustion,boring,1F971,fully-qualified,Smileys & Emotion,face-concerned
😤,face with steam from nose,steamface,iconic,steamface,,1F624,fully-qualified,Smileys & Emotion,face-negative
😡,enraged face,angry,emojese,,angry,1F621,fully-qualified,Smileys & Emotion,face-negative
😠,angry face,angryface,iconic,angryface,,1F620,fully-qualified,Smileys & Emotion,face-negative
🤬,face with symbols on mouth,swear,emojese,,swear,1F92C,fully-qualified,Smileys & Emotion,face-negative
😈,smiling face with horns,,,,,1F608,fully-qualified,Smileys & Emotion,face-negative
👿,angry face with horns,devil,iconic,devil,,1F47F,fully-qualified,Smileys & Emotion,face-negative
💀,skull,skull,emojese,skull,skull,1F480,fully-qualified,Smileys & Emotion,face-negative
☠️,skull and crossbones,death,emojese,skullbones,death,2620 FE0F,fully-qualified,Smileys & Emotion,face-negative
💩,pile of poo,poop,emojese,shit,poop,1F4A9,fully-qualified,Smileys & Emotion,face-costume
🤡,clown face,clown,emojese,clown,clown,1F921,fully-qualified,Smileys & Emotion,face-costume
👹,ogre,monster,emojese,demon,monster,1F479,fully-qualified,Smileys & Emotion,face-costume
👺,goblin,goblin,emojese,tengu,goblin,1F47A,fully-qualified,Smileys & Emotion,face-costume
👻,ghost,ghost,emojese,ghost,ghost,1F47B,fully-qualified,Smileys & Emotion,face-costume
👽,alien,alien,emojese,,alien,1F47D,fully-qualified,Smileys & Emotion,face-costume
👾,alien monster,weird,emojese,alien,weird,1F47E,fully-qualified,Smileys & Emotion,face-costume
🤖,robot,robot,emojese,,robot,1F916,fully-qualified,Smileys & Emotion,face-costume
😺,grinning cat,,,,,1F63A,fully-qualified,Smileys & Emotion,cat-face
😸,grinning cat with smiling eyes,,,,,1F638,fully-qualified,Smileys & Emotion,cat-face
😹,cat with tears of joy,,,,,1F639,fully-qualified,Smileys & Emotion,cat-face
😻,smiling cat with heart-eyes,,,,,1F63B,fully-qualified,Smileys & Emotion,cat-face
😼,cat with wry smile,,,,,1F63C,fully-qualified,Smileys & Emotion,cat-face
😽,kissing cat,,,,,1F63D,fully-qualified,Smileys & Emotion,cat-face
🙀,weary cat,,,,,1F640,fully-qualified,Smileys & Emotion,cat-face
😿,crying cat,,,,,1F63F,fully-qualified,Smileys & Emotion,cat-face
😾,pouting cat,,,,,1F63E,fully-qualified,Smileys & Emotion,cat-face
🙈,see-no-evil monkey,ignore,emojese,nosee,ignore,1F648,fully-qualified,Smileys & Emotion,monkey-face
🙉,hear-no-evil monkey,nohear,iconic,nohear,,1F649,fully-qualified,Smileys & Emotion,monkey-face
🙊,speak-no-evil monkey,nospeak,iconic,nospeak,,1F64A,fully-qualified,Smileys & Emotion,monkey-face
💌,love letter,loveletter,iconic,loveletter,,1F48C,fully-qualified,Smileys & Emotion,heart
💘,heart with arrow,cupid,iconic,cupid,,1F498,fully-qualified,Smileys & Emotion,heart
💝,heart with ribbon,,,,,1F49D,fully-qualified,Smileys & Emotion,heart
💖,sparkling heart,motivation,iconic,motivation,,1F496,fully-qualified,Smileys & Emotion,heart
💗,growing heart,,,,,1F497,fully-qualified,Smileys & Emotion,heart
💓,beating heart,beat,emojese,,beat,1F493,fully-qualified,Smileys & Emotion,heart
💞,revolving hearts,revolve,emojese,,revolve,1F49E,fully-qualified,Smileys & Emotion,heart
💕,two hearts,hearts,iconic,hearts,,1F495,fully-qualified,Smileys & Emotion,heart
💟,heart decoration,,,,,1F49F,fully-qualified,Smileys & Emotion,heart
❣️,heart exclamation,,,,,2763 FE0F,fully-qualified,Smileys & Emotion,heart
💔,broken heart,miss,emojese,heartbreak,miss,1F494,fully-qualified,Smileys & Emotion,heart
❤️‍🔥,heart on fire,,,,,2764 FE0F 200D 1F525,fully-qualified,Smileys & Emotion,heart
❤️‍🩹,mending heart,,,,,2764 FE0F 200D 1FA79,fully-qualified,Smileys & Emotion,heart
❤️,red heart,love,emojese,affection,love,2764 FE0F,fully-qualified,Smileys & Emotion,heart
🩷,pink heart,,,,,1FA77,fully-qualified,Smileys & Emotion,heart
🧡,orange heart,,,,,1F9E1,fully-qualified,Smileys & Emotion,heart
💛,yellow heart,,,,,1F49B,fully-qualified,Smileys & Emotion,heart
💚,green heart,,,,,1F49A,fully-qualified,Smileys & Emotion,heart
💙,blue heart,like,emojese,,like,1F499,fully-qualified,Smileys & Emotion,heart
🩵,light blue heart,,,,,1FA75,fully-qualified,Smileys & Emotion,heart
💜,purple heart,,,,,1F49C,fully-qualified,Smileys & Emotion,heart
🤎,brown heart,,,,,1F90E,fully-qualified,Smileys & Emotion,heart
🖤,black heart,,,,,1F5A4,fully-qualified,Smileys & Emotion,heart
🩶,grey heart,,,,,1FA76,fully-qualified,Smileys & Emotion,heart
🤍,white heart,,,,,1F90D,fully-qualified,Smileys & Emotion,heart
💋,kiss mark,,,,,1F48B,fully-qualified,Smileys & Emotion,emotion
💯,hundred points,best,emojese,fullpoints,best,1F4AF,fully-qualified,Smileys & Emotion,emotion
💢,anger symbol,hateto,iconic,hateto,,1F4A2,fully-qualified,Smileys & Emotion,emotion
🫯,fight cloud,,,,,1FAEF,fully-qualified,Smileys & Emotion,emotion
💥,collision,crash,emojese,crash,crash,1F4A5,fully-qualified,Smileys & Emotion,emotion
💫,dizzy,dizzystars,iconic,dizzystars,,1F4AB,fully-qualified,Smileys & Emotion,emotion
💦,sweat droplets,sweat,emojese,component,sweat,1F4A6,fully-qualified,Smileys & Emotion,emotion
💨,dashing away,air,emojese,wind,air,1F4A8,fully-qualified,Smileys & Emotion,emotion
🕳️,hole,hole,emojese,hole,hole,1F573 FE0F,fully-qualified,Smileys & Emotion,emotion
💬,speech balloon,word,emojese,expression,word,1F4AC,fully-qualified,Smileys & Emotion,emotion
👁️‍🗨️,eye in speech bubble,,,,,1F441 FE0F 200D 1F5E8 FE0F,fully-qualified,Smileys & Emotion,emotion
🗨️,left speech bubble,,,,,1F5E8 FE0F,fully-qualified,Smileys & Emotion,emotion
🗯️,right anger bubble,shout,emojese,angryshout,shout,1F5EF FE0F,fully-qualified,Smileys & Emotion,emotion
💭,thought balloon,think,emojese,regarding,think,1F4AD,fully-qualified,Smileys & Emotion,emotion
💤,ZZZ,sleeping,iconic,sleeping,,1F4A4,fully-qualified,Smileys & Emotion,emotion
👋,waving hand,hello,emojese,invite,hello,1F44B,fully-qualified,People & Body,hand-fingers-open
👋🏻,waving hand: light skin tone,,,,,1F44B 1F3FB,fully-qualified,People & Body,hand-fingers-open
👋🏼,waving hand: medium-light skin tone,,,,,1F44B 1F3FC,fully-qualified,People & Body,hand-fingers-open
👋🏽,waving hand: medium skin tone,,,,,1F44B 1F3FD,fully-qualified,People & Body,hand-fingers-open
👋🏾,waving hand: medium-dark skin tone,,,,,1F44B 1F3FE,fully-qualified,People & Body,hand-fingers-open
👋🏿,waving hand: dark skin tone,,,,,1F44B 1F3FF,fully-qualified,People & Body,hand-fingers-open
🤚,raised back of hand,,,,hand,1F91A,fully-qualified,People & Body,hand-fingers-open
🤚🏻,raised back of hand: light skin tone,,,,,1F91A 1F3FB,fully-qualified,People & Body,hand-fingers-open
🤚🏼,raised back of hand: medium-light skin tone,,,,,1F91A 1F3FC,fully-qualified,People & Body,hand-fingers-open
🤚🏽,raised back of hand: medium skin tone,,,,,1F91A 1F3FD,fully-qualified,People & Body,hand-fingers-open
🤚🏾,raised back of hand: medium-dark skin tone,,,,,1F91A 1F3FE,fully-qualified,People & Body,hand-fingers-open
🤚🏿,raised back of hand: dark skin tone,,,,,1F91A 1F3FF,fully-qualified,People & Body,hand-fingers-open
🖐️,hand with fingers splayed,,,,,1F590 FE0F,fully-qualified,People & Body,hand-fingers-open
🖐🏻,hand with fingers splayed: light skin tone,,,,,1F590 1F3FB,fully-qualified,People & Body,hand-fingers-open
🖐🏼,hand with fingers splayed: medium-light skin tone,,,,,1F590 1F3FC,fully-qualified,People & Body,hand-fingers-open
🖐🏽,hand with fingers splayed: medium skin tone,,,,,1F590 1F3FD,fully-qualified,People & Body,hand-fingers-open
🖐🏾,hand with fingers splayed: medium-dark skin tone,,,,,1F590 1F3FE,fully-qualified,People & Body,hand-fingers-open
🖐🏿,hand with fingers splayed: dark skin tone,,,,,1F590 1F3FF,fully-qualified,People & Body,hand-fingers-open
✋,raised hand,hand,iconic,hand,,270B,fully-qualified,People & Body,hand-fingers-open
✋🏻,raised hand: light skin tone,,,,,270B 1F3FB,fully-qualified,People & Body,hand-fingers-open
✋🏼,raised hand: medium-light skin tone,,,,,270B 1F3FC,fully-qualified,People & Body,hand-fingers-open
✋🏽,raised hand: medium skin tone,,,,,270B 1F3FD,fully-qualified,People & Body,hand-fingers-open
✋🏾,raised hand: medium-dark skin tone,,,,,270B 1F3FE,fully-qualified,People & Body,hand-fingers-open
✋🏿,raised hand: dark skin tone,,,,,270B 1F3FF,fully-qualified,People & Body,hand-fingers-open
🖖,vulcan salute,prosper,emojese,,prosper,1F596,fully-qualified,People & Body,hand-fingers-open
🖖🏻,vulcan salute: light skin tone,,,,,1F596 1F3FB,fully-qualified,People & Body,hand-fingers-open
🖖🏼,vulcan salute: medium-light skin tone,,,,,1F596 1F3FC,fully-qualified,People & Body,hand-fingers-open
🖖🏽,vulcan salute: medium skin tone,,,,,1F596 1F3FD,fully-qualified,People & Body,hand-fingers-open
🖖🏾,vulcan salute: medium-dark skin tone,,,,,1F596 1F3FE,fully-qualified,People & Body,hand-fingers-open
🖖🏿,vulcan salute: dark skin tone,,,,,1F596 1F3FF,fully-qualified,People & Body,hand-fingers-open
🫱,rightwards hand,,,,,1FAF1,fully-qualified,People & Body,hand-fingers-open
🫱🏻,rightwards hand: light skin tone,,,,,1FAF1 1F3FB,fully-qualified,People & Body,hand-fingers-open
🫱🏼,rightwards hand: medium-light skin tone,,,,,1FAF1 1F3FC,fully-qualified,People & Body,hand-fingers-open
🫱🏽,rightwards hand: medium skin tone,,,,,1FAF1 1F3FD,fully-qualified,People & Body,hand-fingers-open
🫱🏾,rightwards hand: medium-dark skin tone,,,,,1FAF1 1F3FE,fully-qualified,People & Body,hand-fingers-open
